provided_cash_flow_id,month,principal,interest
test_repay,1,0,0.0000
test_repay,2,0,0.0000
test_repay,3,0,0.0000
test_repay,4,0,0.0000
test_repay,5,0,0.0000
test_repay,6,0,0.0000
test_repay,7,0,0.0000
test_repay,8,0,0.0000
test_repay,9,0,0.0000
test_repay,10,0,0.0000
test_repay,11,0,0.0000
test_repay,12,10,2.0000
test_repay,13,0,0.0000
test_repay,14,0,0.0000
test_repay,15,0,0.0000
test_repay,16,0,0.0000
test_repay,17,0,0.0000
test_repay,18,0,0.0000
test_repay,19,0,0.0000
test_repay,20,0,0.0000
test_repay,21,0,0.0000
test_repay,22,0,0.0000
test_repay,23,0,0.0000
test_repay,24,10,1.8000
test_repay,25,0,0.0000
test_repay,26,0,0.0000
test_repay,27,0,0.0000
test_repay,28,0,0.0000
test_repay,29,0,0.0000
test_repay,30,0,0.0000
test_repay,31,0,0.0000
test_repay,32,0,0.0000
test_repay,33,0,0.0000
test_repay,34,0,0.0000
test_repay,35,0,0.0000
test_repay,36,30,1.6000
test_repay,37,0,0.0000
test_repay,38,0,0.0000
test_repay,39,0,0.0000
test_repay,40,0,0.0000
test_repay,41,0,0.0000
test_repay,42,0,0.0000
test_repay,43,0,0.0000
test_repay,44,0,0.0000
test_repay,45,0,0.0000
test_repay,46,0,0.0000
test_repay,47,0,0.0000
test_repay,48,50,1.0000
